Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
1739,Safety and Efficacy Study of Daclatasvir (BMS-790052) Plus Pegylated Interferon-Alfa 2a and Ribavirin in Patients Coinfected With Untreated Hepatitis C Virus and HIV Virus,Completed,Has Results,"Hepatitis C, Genotype 1",Drug: Daclatasvir|Drug: Ribavirin|Drug: PEG-Interferon alfa 2a,Bristol-Myers Squibb,Phase 3,Industry,Interventional,17-Dec-15,https://ClinicalTrials.gov/show/NCT01471574
1740,Assess Safety and Efficacy of ELAD (Extracorporeal Liver Assist System) in Subjects With Alcohol-Induced Liver Failure,Completed,Has Results,Acute Alcoholic Hepatitis,Biological: ELAD treatment|Other: Standard of care (Control),"Vital Therapies, Inc.",Phase 3,Industry,Interventional,15-Feb-19,https://ClinicalTrials.gov/show/NCT01471028
1741,"A Study to Evaluate the Efficacy and Safety of ALKS 9072 (Also Known as Aripiprazole Lauroxil, ALKS 9070, or ARISTADA) in Subjects With Schizophrenia",Completed,Has Results,Schizophrenia,Drug: ALKS 9072|Drug: Placebo,"Alkermes, Inc.",Phase 3,Industry,Interventional,22-Jan-16,https://ClinicalTrials.gov/show/NCT01469039
1742,A Study in Participants With Type 2 Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: LY2605541|Drug: Insulin Glargine|Drug: Insulin Lispro,Eli Lilly and Company,Phase 3,Industry,Interventional,17-Apr-18,https://ClinicalTrials.gov/show/NCT01468987
1743,"A Study Evaluating The Efficacy And Safety Of CP-690,550 In Patients With Moderate To Severe Ulcerative Colitis",Completed,Has Results,Ulcerative Colitis,Drug: tofacitinib|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,7-Jun-16,https://ClinicalTrials.gov/show/NCT01465763
1744,"Efficacy, Safety, and Pharmacokinetics (PK) of Triptorelin 6-month Formulation in Patients With Central Precocious Puberty",Completed,Has Results,Central Precocious Puberty,Drug: Triptorelin,Debiopharm International SA,Phase 3,Industry,Interventional,4-Sep-15,https://ClinicalTrials.gov/show/NCT01467882
1745,Efficacy and Safety Study of Botulinum Toxin Type A Against Placebo to Treat Spasticity in the Leg After a Stroke,Completed,Has Results,Post-stroke Spasticity of the Lower Limb,Drug: IncobotulinumtoxinA (400 Units)|Drug: Placebo Comparator,Merz Pharmaceuticals GmbH,Phase 3,Industry,Interventional,7-Nov-16,https://ClinicalTrials.gov/show/NCT01464307
1746,Study of How Dulaglutide Compares to Placebo in Participants With Type 2 Diabetes Who Are Also on Sulfonylurea Therapy (AWARD-8),Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Placebo|Drug: Dulaglutide|Drug: Glimepiride,Eli Lilly and Company,Phase 3,Industry,Interventional,14-Oct-15,https://ClinicalTrials.gov/show/NCT01769378
1747,Safety & Efficacy of a Single Dose of Sumatriptan Powder Delivered Intranasally With the Bi-directional Device in Adults With Acute Migraine,Completed,Has Results,Migraine Headache,Drug: Sumatriptan|Drug: Placebo,Optinose US Inc.,Phase 3,Industry,Interventional,6-May-15,https://ClinicalTrials.gov/show/NCT01462812
1748,Study of Diclofenac Capsules to Treat Osteoarthritis Pain,Completed,Has Results,Osteoarthritis,Drug: Diclofenac|Drug: Placebo,"Iroko Pharmaceuticals, LLC",Phase 3,Industry,Interventional,26-May-14,https://ClinicalTrials.gov/show/NCT01461369
1749,"A Study To Evaluate Both The Efficacy and Safety Profile of CP-690,550 In Patients With Moderately to Severely Active Ulcerative Colitis",Completed,Has Results,Ulcerative Colitis,Drug: tofacitinib|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,1-Jun-16,https://ClinicalTrials.gov/show/NCT01458951
1750,"A Study Of Oral CP-690,550 As A Maintenance Therapy For Ulcerative Colitis",Completed,Has Results,Ulcerative Colitis,"Drug: Placebo|Drug: CP690,550|Drug: CP-690,550",Pfizer,Phase 3,Industry,Interventional,18-May-17,https://ClinicalTrials.gov/show/NCT01458574
1751,A Safety and Efficacy Study of Ciclesonide Nasal Aerosol in Subjects 6-11 Years With Seasonal Allergic Rhinitis (SAR),Completed,Has Results,Seasonal Allergic Rhinitis,Drug: Ciclesonide nasal aerosol 37 mcg|Drug: ciclesonide nasal aerosol 74 mcg|Drug: Placebo,Sunovion,Phase 3,Industry,Interventional,15-May-14,https://ClinicalTrials.gov/show/NCT01458275
1752,Efficacy and Safety of SPARC0921 in Subjects With Spasticity,Completed,Has Results,Spasticity,Drug: SPARC0921|Drug: Placebo0921,Sun Pharma Advanced Research Company Limited,Phase 3,Industry,Interventional,18-Jun-19,https://ClinicalTrials.gov/show/NCT01457352
1753,Comparison of TAK-875 (Fasiglifam) With Placebo in Participants With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo|Drug: Fasiglifam,Takeda,Phase 3,Industry,Interventional,5-Apr-16,https://ClinicalTrials.gov/show/NCT01456195
1754,HeartLight Ablation in Patients With Paroxysmal Atrial Fibrillation (PAF),Completed,Has Results,Paroxysmal Atrial Fibrillation,Device: EAS-AC (HeartLight)|Procedure: Control Arm Ablation,CardioFocus,Phase 3,Industry,Interventional,8-Sep-16,https://ClinicalTrials.gov/show/NCT01456000
1755,Effect Of Pregabalin Treatment In Patients With Diabetic Nerve Pain Who Currently Use A Non-Steroid Anti-Inflammatory Drug (NSAID) For Another Pain,Completed,Has Results,Painful Diabetic Peripheral Neuropathy,Drug: pregabalin|Drug: placebo,Pfizer,Phase 3,Industry,Interventional,23-Apr-15,https://ClinicalTrials.gov/show/NCT01455415
1756,Long-Term Safety and Efficacy of rFVIIIFc in the Prevention and Treatment of Bleeding Episodes in Previously Treated Participants With Hemophilia A,Completed,Has Results,Hemophilia A,Drug: rFVIIIFc,Bioverativ Therapeutics Inc.,Phase 3,Industry,Interventional,22-Nov-18,https://ClinicalTrials.gov/show/NCT01454739
1757,"A Randomized, Open-label, Multicenter, Phase 3 Study to Compare the Efficacy and Safety of Eribulin With Treatment of Physician's Choice in Subjects With Advanced Non-Small Cell Lung Cancer",Completed,Has Results,Non-Small Cell Lung Cancer (NSCLC),"Drug: Eribulin|Drug: TPC -Vinorelbine,Gemcitabine,Docetaxel, and Pemetrexed",Eisai Inc.,Phase 3,Industry,Interventional,1-Mar-17,https://ClinicalTrials.gov/show/NCT01454934
1758,A Study in Participants With Type I Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 1",Drug: Glargine|Drug: LY2605541|Drug: Insulin Lispro,Eli Lilly and Company,Phase 3,Industry,Interventional,17-Apr-18,https://ClinicalTrials.gov/show/NCT01454284
1759,Safety and Efficacy of OMS302 in Subjects Undergoing Intraocular Lens Replacement With Phacoemulsification,Completed,Has Results,Intraocular Lens Replacement,Drug: OMS302|Drug: Placebo,Omeros Corporation,Phase 3,Industry,Interventional,21-Aug-14,https://ClinicalTrials.gov/show/NCT01454063
1760,Efficacy and Safety of Hydrocodone Bitartrate (HYD) in Subjects With Moderate to Severe Chronic Low Back Pain,Completed,Has Results,Chronic Low Back Pain,Drug: Hydrocodone bitartrate q24h film-coated tablets|Drug: Placebo to match hydrocodone bitartrate q24h tablets,Purdue Pharma LP,Phase 3,Industry,Interventional,4-Dec-14,https://ClinicalTrials.gov/show/NCT01452529
1761,A Safety and Efficacy Study of Ciclesonide Nasal Aerosol in Subjects 6-11 Years With Perennial Allergic Rhinitis (PAR).,Completed,Has Results,Perennial Allergic Rhinitis|PAR,Drug: Ciclesonide nasal aerosol 37 mcg|Drug: ciclesonide nasal aerosol 74 mcg|Drug: Placebo,Sunovion,Phase 3,Industry,Interventional,6-May-14,https://ClinicalTrials.gov/show/NCT01451541
1762,Comparison of Technosphere® Insulin Versus Technosphere Powder (Placebo) in Insulin-Naive Subjects With Type 2 Diabetes Mellitus,Completed,Has Results,Type 2 Diabetes,Drug: Technosphere® Insulin|Drug: Technosphere Powder,Mannkind Corporation,Phase 3,Industry,Interventional,17-Oct-14,https://ClinicalTrials.gov/show/NCT01451398
1763,Trial in Extensive-Disease Small Cell Lung Cancer (ED-SCLC) Subjects Comparing Ipilimumab Plus Etoposide and Platinum Therapy to Etoposide and Platinum Therapy Alone,Completed,Has Results,Small Cell Lung Carcinoma,Biological: Ipilimumab|Biological: Placebo matching Ipilimumab|Drug: Etoposide|Drug: Cisplatin|Drug: Carboplatin,Bristol-Myers Squibb,Phase 3,Industry,Interventional,18-Jul-16,https://ClinicalTrials.gov/show/NCT01450761
1764,Autopsy Follow-up of Subjects Previously Imaged With Florbetapir F 18 (18F-AV-45) PET in Trial 18F-AV-45-A07,Completed,Has Results,Alzheimer's Disease,Drug: florbetapir F 18,Avid Radiopharmaceuticals,Phase 3,Industry,Interventional,7-May-12,https://ClinicalTrials.gov/show/NCT01447719
1765,Safety and Efficacy of Intranasal TBS-1 Treatment of Male Hypogonadism,Completed,Has Results,Male Hypogonadism,Drug: Testosterone,Acerus Pharmaceuticals Corporation,Phase 3,Industry,Interventional,13-Jun-18,https://ClinicalTrials.gov/show/NCT01446042
1766,Clinical Trial Evaluating Technosphere® Insulin Versus Insulin Aspart in Subjects With Type 1 Diabetes Mellitus Over a 24-week Treatment Period,Completed,Has Results,Type 1 Diabetes Mellitus,Drug: Technosphere® Insulin with MedTone C Inhaler|Drug: Technosphere ®Insulin with Gen2 Inhaler|Drug: Insulin Aspart in combination with a basal insulin,Mannkind Corporation,Phase 3,Industry,Interventional,22-Oct-14,https://ClinicalTrials.gov/show/NCT01445951
1767,A 6 Month Safety Study Comparing Symbicort With Inhaled Corticosteroid Only in Asthmatic Adults and Adolescents,Completed,Has Results,Asthma,Drug: Symbicort pMDI|Drug: budesonide pMDI,AstraZeneca,Phase 3,Industry,Interventional,15-Dec-16,https://ClinicalTrials.gov/show/NCT01444430
1768,Safety and Efficacy Study of Romiplostim to Treat Immune Thrombocytopenia (ITP) in Pediatric Patients,Completed,Has Results,Idiopathic Thrombocytopenic Purpura|Thrombocytopenia|Thrombocytopenia in Pediatric Subjects With Immune (Idiopathic) Thrombocytopenic Purpura (ITP)|Thrombocytopenia in Subjects With Immune (Idiopathic) Thrombocytopenic Purpura (ITP)|Thrombocytopenic Purpura|Immune Thrombocytopenia,Drug: Romiplostim|Drug: Placebo,Amgen,Phase 3,Industry,Interventional,19-Jan-17,https://ClinicalTrials.gov/show/NCT01444417
1769,Ranolazine for Incomplete Vessel Revascularization Post-Percutaneous Coronary Intervention (PCI),Completed,Has Results,Coronary Artery Disease|Angina Pectoris,Drug: Ranolazine|Drug: Placebo,Gilead Sciences,Phase 3,Industry,Interventional,15-Jul-16,https://ClinicalTrials.gov/show/NCT01442038
1770,Efficacy and Safety of Palonosetron Intravenous in Prevention of Chemotherapy Induced Nausea and Vomiting in Pediatric Patients,Completed,Has Results,Chemotherapy-Induced Nausea and Vomiting,Drug: Palonosetron|Drug: Ondansetron|Drug: Placebo to Ondansetron|Drug: Placebo to Palonosetron,Helsinn Healthcare SA,Phase 3,Industry,Interventional,28-Jul-14,https://ClinicalTrials.gov/show/NCT01442376
1771,Safety Study of Entocort for Children With Crohn's Disease,Completed,Has Results,Crohn's Disease,Drug: Entocort,Perrigo Company,Phase 3,Industry,Interventional,11-Aug-16,https://ClinicalTrials.gov/show/NCT01444092
1772,Safety and Tolerability of Aclidinium Bromide/Formoterol Fumarate Compared With Formoterol Fumarate in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease,Completed,Has Results,Chronic Obstructive Pulmonary Disease,Drug: Aclidinium Bromide/Formoterol Fumarate|Drug: Formoterol Fumarate,AstraZeneca,Phase 3,Industry,Interventional,11-May-17,https://ClinicalTrials.gov/show/NCT01437540
1773,"Efficacy, Safety and Tolerability of Aclidinium Bromide/Formoterol Fumarate Compared With Aclidinium Bromide and Formoterol Fumarate in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD)",Completed,Has Results,Chronic Obstructive Pulmonary Disease,Drug: Aclidinium Bromide/Formoterol Fumarate|Drug: Aclidinium Bromide|Drug: Formoterol Fumarate|Drug: Placebo,AstraZeneca,Phase 3,Industry,Interventional,23-Mar-17,https://ClinicalTrials.gov/show/NCT01437397
1774,Efficacy and Safety Study of SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Completed,Has Results,Major Depressive Disorder,Drug: Antidepressant + SPD489 (Lisdexamfetamine dimesylate )|Drug: Antidepressant + Placebo,Shire,Phase 3,Industry,Interventional,7-Nov-14,https://ClinicalTrials.gov/show/NCT01436162
1775,Efficacy and Safety Study of SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Completed,Has Results,Major Depressive Disorder,Drug: SPD489 (Lisdexamfetamine dimesylate )|Drug: Placebo,Shire,Phase 3,Industry,Interventional,19-Nov-14,https://ClinicalTrials.gov/show/NCT01436149
1776,Clinical Study Evaluating Safety and Efficacy of Fluticasone Furoate and Fluticasone Propionate in People With Asthma,Completed,Has Results,Asthma,Drug: Fluticasone furoate 50mcg|Drug: Fluticasone propionate 100mcg|Drug: Placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Sep-14,https://ClinicalTrials.gov/show/NCT01436110
1777,PEARL Schizophrenia Maintenance,Completed,Has Results,Schizophrenia,Drug: Lurasidone|Drug: Matching Placebo,Sunovion,Phase 3,Industry,Interventional,25-Sep-14,https://ClinicalTrials.gov/show/NCT01435928
1778,A Study in Patients With Type 2 Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Glargine|Drug: LY2605541,Eli Lilly and Company,Phase 3,Industry,Interventional,13-Apr-18,https://ClinicalTrials.gov/show/NCT01435616
1779,Open-label Study to Compare Hospitalization Rates of Schizophrenic Patients Treated With Oral Antipsychotics Versus IM Depot Aripiprazole,Completed,Has Results,Schizophrenia,Drug: Aripiprazole (Abilify®) IM Depot Injection,"Otsuka Pharmaceutical Development & Commercialization, Inc.",Phase 3,Industry,Interventional,27-Mar-15,https://ClinicalTrials.gov/show/NCT01432444
1780,Switching Study of Kidney Transplant Patients With Tremor to LCP-Tacro (STRATO),Completed,Has Results,Renal Failure|Tremors,Drug: Prograf|Drug: LCP-Tacro,Veloxis Pharmaceuticals,Phase 3,Industry,Interventional,8-May-15,https://ClinicalTrials.gov/show/NCT01438710
1781,A Phase 3b Multicenter Study of Pregabalin in Fibromyalgia Subjects Who Have Comorbid Depression,Completed,Has Results,Fibromyalgia,Drug: Pregabalin|Drug: placebo,Pfizer,Phase 3,Industry,Interventional,22-Oct-14,https://ClinicalTrials.gov/show/NCT01432236
1782,Evaluating the Efficacy and Safety of Fluticasone Furoate in the Treatment of Asthma in Adults and Adolescents,Completed,Has Results,Asthma,Drug: fluticasone furoate|Drug: albuterol/salbutamol,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Sep-14,https://ClinicalTrials.gov/show/NCT01431950
1783,Efficacy and Safety of Dalbavancin for the Treatment of Acute Bacterial Skin and Skin Structure Infections,Completed,Has Results,Abscess|Wound Infection|Surgical Site Infection|Cellulitis,Drug: IV Dalbavancin|Drug: Vancomycin/Linezolid,"Durata Therapeutics Inc., an affiliate of Allergan plc",Phase 3,Industry,Interventional,12-Feb-14,https://ClinicalTrials.gov/show/NCT01431339
1784,Tiotropium +Olodaterol Fixed Dose Combination (FDC) Versus Tiotropium and Olodaterol in Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,"Pulmonary Disease, Chronic Obstructive",Drug: tiotropium + olodaterol|Drug: tiotropium|Drug: olodaterol|Device: Respimat,Boehringer Ingelheim,Phase 3,Industry,Interventional,16-Jul-15,https://ClinicalTrials.gov/show/NCT01431287
1785,Tiotropium+Olodaterol Fixed Dose Combination (FDC) Versus Tiotropium and Olodaterol in Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,"Pulmonary Disease, Chronic Obstructive",Drug: tiotropium + olodaterol|Drug: tiotropium|Drug: olodaterol|Device: Respimat,Boehringer Ingelheim,Phase 3,Industry,Interventional,16-Jul-15,https://ClinicalTrials.gov/show/NCT01431274
1786,Withdrawal Study to Demonstrate the Maintenance Effect in the Treatment of Non-24-Hour Sleep-Wake Disorder,Completed,Has Results,Non-24-Hour Sleep-Wake Disorder,Drug: tasimelteon|Drug: Placebo,Vanda Pharmaceuticals,Phase 3,Industry,Interventional,10-Oct-14,https://ClinicalTrials.gov/show/NCT01430754
1787,Clinical Study Evaluating Safety and Efficacy of Fluticasone Furoate in People With Asthma,Completed,Has Results,Asthma,Drug: Fluticasone furoate 50mcg|Drug: Placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Sep-14,https://ClinicalTrials.gov/show/NCT01436071
1788,Ocriplasmin for Treatment for Symptomatic Vitreomacular Adhesion Including Macular Hole,Completed,Has Results,Vitreomacular Adhesion Including Macular Hole,Drug: Ocriplasmin|Other: Sham injection,ThromboGenics,Phase 3,Industry,Interventional,11-Jan-16,https://ClinicalTrials.gov/show/NCT01429441
1789,Safety Study of Oxycodone Hydrochloride and Naltrexone Hydrochloride Extended-Release Capsules in Subjects With Moderate to Severe Chronic Noncancer Pain,Completed,Has Results,Chronic Noncancer Pain,Drug: oxycodone HCl and naltrexone HCl extended-release capsules,Pfizer,Phase 3,Industry,Interventional,21-Nov-16,https://ClinicalTrials.gov/show/NCT01428583
1790,"Evaluation of Long-term Safety, and Efficacy of Brivaracetam (BRV) Used as Adjunctive Treatment in Subjects With Epilepsy",Completed,Has Results,Epilepsy,Drug: Brivaracetam,UCB Pharma SA|UCB Pharma,Phase 3,Industry,Interventional,2-Aug-17,https://ClinicalTrials.gov/show/NCT01728077
1791,Actual Use Trial of Naproxen Sodium,Completed,Has Results,Pain,Drug: Naproxen Sodium ER (BAYH6689),Bayer,Phase 3,Industry,Interventional,20-May-13,https://ClinicalTrials.gov/show/NCT01427803
1792,Intracardiac CrYoablation for AtrioVentricular Nodal Reentrant Tachycardia,Completed,Has Results,AtrioVentricular Nodal Reentrant Tachycardia|Supraventricular Tachycardia|Heart Disease,Device: Freezor Xtra Cryoablation Catheter,Medtronic Cardiac Rhythm and Heart Failure,Phase 3,Industry,Interventional,31-Mar-17,https://ClinicalTrials.gov/show/NCT01426425
1793,Open-Label Study of Deoxycholic Acid for the Reduction of Localized Subcutaneous Fat in the Submental Area,Completed,Has Results,Moderate or Severe Submental Fullness,Drug: Deoxycholic acid injection,Kythera Biopharmaceuticals,Phase 3,Industry,Interventional,14-Jan-16,https://ClinicalTrials.gov/show/NCT01426373
